date,value,balance,gdp
1992-01-01,-0.38,-24.0,6.3
1992-02-01,-0.16,-10.0,6.4
1992-03-01,-0.5,-32.0,6.4
1992-04-01,-0.58,-37.0,6.4
1992-05-01,-0.73,-47.0,6.5
1992-06-01,-0.52,-34.0,6.5
1992-07-01,-0.51,-33.0,6.5
1992-08-01,-0.81,-53.0,6.6
1992-09-01,-0.64,-42.0,6.6
1992-10-01,-0.64,-42.0,6.6
1992-11-01,-0.71,-48.0,6.7
1992-12-01,-1.0,-67.0,6.7
1993-01-01,-0.69,-46.0,6.7
1993-02-01,-0.64,-43.0,6.7
1993-03-01,-1.2,-81.0,6.8
1993-04-01,-1.14,-77.0,6.8
1993-05-01,-0.77,-52.0,6.8
1993-06-01,-1.22,-83.0,6.8
1993-07-01,-1.12,-77.0,6.9
1993-08-01,-0.97,-67.0,6.9
1993-09-01,-1.22,-84.0,6.9
1993-10-01,-1.14,-79.0,7.0
1993-11-01,-1.2,-84.0,7.0
1993-12-01,-0.97,-69.0,7.0
1994-01-01,-1.05,-74.0,7.1
1994-02-01,-1.56,-111.0,7.1
1994-03-01,-1.08,-78.0,7.2
1994-04-01,-1.31,-95.0,7.2
1994-05-01,-1.28,-93.0,7.2
1994-06-01,-1.38,-101.0,7.3
1994-07-01,-1.44,-105.0,7.3
1994-08-01,-1.36,-100.0,7.3
1994-09-01,-1.35,-100.0,7.4
1994-10-01,-1.48,-110.0,7.4
1994-11-01,-1.55,-115.0,7.5
1994-12-01,-1.36,-101.0,7.5
1995-01-01,-1.49,-112.0,7.5
1995-02-01,-1.41,-106.0,7.5
1995-03-01,-1.54,-116.0,7.5
1995-04-01,-1.52,-115.0,7.6
1995-05-01,-1.44,-109.0,7.6
1995-06-01,-1.67,-127.0,7.6
1995-07-01,-1.21,-92.0,7.6
1995-08-01,-1.05,-80.0,7.7
1995-09-01,-0.92,-71.0,7.7
1995-10-01,-0.95,-73.0,7.7
1995-11-01,-1.01,-78.0,7.8
1995-12-01,-0.96,-75.0,7.8
1996-01-01,-1.3,-102.0,7.8
1996-02-01,-1.12,-88.0,7.9
1996-03-01,-1.17,-93.0,7.9
1996-04-01,-1.32,-105.0,8.0
1996-05-01,-1.38,-111.0,8.0
1996-06-01,-1.11,-90.0,8.1
1996-07-01,-1.5,-122.0,8.1
1996-08-01,-1.53,-124.0,8.1
1996-09-01,-1.5,-122.0,8.2
1996-10-01,-0.97,-80.0,8.2
1996-11-01,-1.06,-87.0,8.3
1996-12-01,-1.52,-126.0,8.3
1997-01-01,-1.62,-135.0,8.3
1997-02-01,-1.4,-117.0,8.4
1997-03-01,-1.2,-101.0,8.4
1997-04-01,-1.15,-97.0,8.5
1997-05-01,-1.18,-101.0,8.5
1997-06-01,-1.0,-86.0,8.6
1997-07-01,-0.98,-84.0,8.6
1997-08-01,-1.21,-105.0,8.7
1997-09-01,-1.28,-111.0,8.7
1997-10-01,-1.25,-109.0,8.7
1997-11-01,-1.34,-117.0,8.8
1997-12-01,-1.54,-135.0,8.8
1998-01-01,-1.46,-129.0,8.8
1998-02-01,-1.57,-139.0,8.9
1998-03-01,-1.74,-155.0,8.9
1998-04-01,-1.87,-167.0,8.9
1998-05-01,-1.9,-170.0,9.0
1998-06-01,-1.76,-159.0,9.0
1998-07-01,-1.85,-167.0,9.1
1998-08-01,-2.11,-192.0,9.1
1998-09-01,-1.94,-178.0,9.2
1998-10-01,-1.92,-178.0,9.2
1998-11-01,-1.96,-182.0,9.3
1998-12-01,-1.9,-177.0,9.3
1999-01-01,-1.9,-178.0,9.4
1999-02-01,-2.23,-209.0,9.4
1999-03-01,-2.12,-201.0,9.4
1999-04-01,-2.14,-203.0,9.5
1999-05-01,-2.4,-228.0,9.5
1999-06-01,-2.74,-263.0,9.6
1999-07-01,-2.75,-265.0,9.6
1999-08-01,-2.68,-259.0,9.7
1999-09-01,-2.66,-260.0,9.8
1999-10-01,-2.72,-268.0,9.8
1999-11-01,-2.91,-288.0,9.9
1999-12-01,-3.01,-299.0,9.9
2000-01-01,-3.13,-312.0,10.0
2000-02-01,-3.43,-343.0,10.0
2000-03-01,-3.49,-352.0,10.1
2000-04-01,-3.24,-329.0,10.2
2000-05-01,-3.27,-335.0,10.2
2000-06-01,-3.41,-351.0,10.3
2000-07-01,-3.5,-360.0,10.3
2000-08-01,-3.34,-345.0,10.3
2000-09-01,-3.72,-385.0,10.4
2000-10-01,-3.71,-385.0,10.4
2000-11-01,-3.62,-378.0,10.4
2000-12-01,-3.69,-386.0,10.4
2001-01-01,-3.89,-406.0,10.5
2001-02-01,-3.2,-335.0,10.5
2001-03-01,-3.58,-377.0,10.5
2001-04-01,-3.32,-350.0,10.6
2001-05-01,-2.91,-309.0,10.6
2001-06-01,-3.14,-333.0,10.6
2001-07-01,-3.23,-342.0,10.6
2001-08-01,-3.02,-320.0,10.6
2001-09-01,-3.3,-350.0,10.6
2001-10-01,-3.33,-355.0,10.6
2001-11-01,-3.26,-347.0,10.7
2001-12-01,-2.96,-316.0,10.7
2002-01-01,-3.21,-345.0,10.7
2002-02-01,-3.51,-379.0,10.8
2002-03-01,-3.35,-363.0,10.8
2002-04-01,-3.65,-396.0,10.9
2002-05-01,-3.65,-398.0,10.9
2002-06-01,-3.71,-406.0,10.9
2002-07-01,-3.62,-397.0,11.0
2002-08-01,-3.88,-426.0,11.0
2002-09-01,-3.83,-422.0,11.0
2002-10-01,-3.71,-410.0,11.0
2002-11-01,-4.18,-462.0,11.1
2002-12-01,-4.6,-511.0,11.1
2003-01-01,-4.34,-483.0,11.1
2003-02-01,-4.2,-469.0,11.2
2003-03-01,-4.58,-513.0,11.2
2003-04-01,-4.38,-493.0,11.3
2003-05-01,-4.26,-482.0,11.3
2003-06-01,-4.09,-466.0,11.4
2003-07-01,-4.22,-484.0,11.5
2003-08-01,-4.03,-466.0,11.6
2003-09-01,-4.21,-490.0,11.6
2003-10-01,-4.14,-484.0,11.7
2003-11-01,-3.96,-466.0,11.8
2003-12-01,-4.36,-516.0,11.8
2004-01-01,-4.4,-523.0,11.9
2004-02-01,-4.37,-521.0,11.9
2004-03-01,-4.58,-548.0,12.0
2004-04-01,-4.6,-555.0,12.0
2004-05-01,-4.61,-558.0,12.1
2004-06-01,-5.23,-637.0,12.2
2004-07-01,-4.95,-607.0,12.2
2004-08-01,-5.12,-630.0,12.3
2004-09-01,-4.9,-607.0,12.4
2004-10-01,-5.2,-647.0,12.5
2004-11-01,-5.54,-694.0,12.5
2004-12-01,-5.12,-645.0,12.6
2005-01-01,-5.2,-660.0,12.7
2005-02-01,-5.35,-683.0,12.8
2005-03-01,-4.86,-624.0,12.8
2005-04-01,-5.23,-673.0,12.9
2005-05-01,-5.1,-659.0,12.9
2005-06-01,-5.26,-684.0,13.0
2005-07-01,-5.25,-686.0,13.1
2005-08-01,-5.26,-692.0,13.1
2005-09-01,-5.79,-765.0,13.2
2005-10-01,-5.98,-793.0,13.3
2005-11-01,-5.65,-752.0,13.3
2005-12-01,-5.67,-760.0,13.4
2006-01-01,-5.85,-790.0,13.5
2006-02-01,-5.4,-735.0,13.6
2006-03-01,-5.38,-735.0,13.7
2006-04-01,-5.38,-738.0,13.7
2006-05-01,-5.55,-764.0,13.8
2006-06-01,-5.45,-751.0,13.8
2006-07-01,-5.7,-789.0,13.8
2006-08-01,-5.81,-806.0,13.9
2006-09-01,-5.51,-767.0,13.9
2006-10-01,-5.01,-700.0,14.0
2006-11-01,-4.93,-693.0,14.0
2006-12-01,-5.16,-728.0,14.1
2007-01-01,-4.81,-682.0,14.2
2007-02-01,-4.83,-687.0,14.2
2007-03-01,-5.12,-730.0,14.3
2007-04-01,-4.95,-710.0,14.3
2007-05-01,-4.86,-700.0,14.4
2007-06-01,-4.88,-705.0,14.5
2007-07-01,-4.87,-707.0,14.5
2007-08-01,-4.6,-670.0,14.6
2007-09-01,-4.66,-681.0,14.6
2007-10-01,-4.61,-675.0,14.7
2007-11-01,-4.84,-712.0,14.7
2007-12-01,-4.64,-682.0,14.7
2008-01-01,-4.86,-715.0,14.7
2008-02-01,-5.1,-749.0,14.7
2008-03-01,-4.77,-704.0,14.8
2008-04-01,-5.02,-743.0,14.8
2008-05-01,-4.9,-729.0,14.9
2008-06-01,-4.78,-711.0,14.9
2008-07-01,-5.26,-783.0,14.9
2008-08-01,-4.89,-728.0,14.9
2008-09-01,-4.76,-704.0,14.8
2008-10-01,-4.82,-709.0,14.7
2008-11-01,-3.55,-519.0,14.6
2008-12-01,-3.47,-504.0,14.5
2009-01-01,-3.12,-452.0,14.5
2009-02-01,-2.26,-326.0,14.4
2009-03-01,-2.4,-345.0,14.4
2009-04-01,-2.42,-348.0,14.4
2009-05-01,-2.06,-296.0,14.4
2009-06-01,-2.16,-311.0,14.4
2009-07-01,-2.67,-385.0,14.4
2009-08-01,-2.52,-364.0,14.4
2009-09-01,-2.8,-407.0,14.5
2009-10-01,-2.76,-402.0,14.6
2009-11-01,-3.02,-443.0,14.7
2009-12-01,-3.09,-453.0,14.7
2010-01-01,-2.95,-434.0,14.7
2010-02-01,-3.25,-480.0,14.8
2010-03-01,-3.14,-465.0,14.8
2010-04-01,-3.21,-478.0,14.9
2010-05-01,-3.24,-486.0,15.0
2010-06-01,-3.65,-548.0,15.0
