date,value,receipts,gdp
1989-12-01,17.24,1.0,5.8
1990-01-01,17.29,1.01,5.8
1990-02-01,17.22,1.01,5.9
1990-03-01,17.08,1.01,5.9
1990-04-01,17.17,1.02,5.9
1990-05-01,17.06,1.02,6.0
1990-06-01,17.05,1.02,6.0
1990-07-01,17.1,1.03,6.0
1990-08-01,17.08,1.03,6.0
1990-09-01,17.16,1.03,6.0
1990-10-01,17.31,1.04,6.0
1990-11-01,17.31,1.04,6.0
1990-12-01,17.49,1.05,6.0
1991-01-01,17.48,1.05,6.0
1991-02-01,17.49,1.06,6.0
1991-03-01,17.4,1.06,6.1
1991-04-01,17.33,1.06,6.1
1991-05-01,17.15,1.05,6.1
1991-06-01,16.96,1.04,6.2
1991-07-01,16.99,1.05,6.2
1991-08-01,16.88,1.05,6.2
1991-09-01,16.93,1.05,6.2
1991-10-01,16.9,1.06,6.2
1991-11-01,16.89,1.06,6.3
1991-12-01,16.83,1.06,6.3
1992-01-01,16.79,1.06,6.3
1992-02-01,16.63,1.06,6.4
1992-03-01,16.65,1.07,6.4
1992-04-01,16.53,1.06,6.4
1992-05-01,16.41,1.06,6.5
1992-06-01,16.6,1.08,6.5
1992-07-01,16.53,1.08,6.5
1992-08-01,16.47,1.08,6.6
1992-09-01,16.51,1.09,6.6
1992-10-01,16.4,1.09,6.6
1992-11-01,16.33,1.09,6.7
1992-12-01,16.44,1.1,6.7
1993-01-01,16.53,1.11,6.7
1993-02-01,16.54,1.11,6.7
1993-03-01,16.64,1.12,6.8
1993-04-01,16.48,1.12,6.8
1993-05-01,16.54,1.13,6.8
1993-06-01,16.59,1.13,6.8
1993-07-01,16.55,1.14,6.9
1993-08-01,16.62,1.14,6.9
1993-09-01,16.65,1.15,6.9
1993-10-01,16.57,1.16,7.0
1993-11-01,16.59,1.16,7.0
1993-12-01,16.68,1.18,7.0
1994-01-01,16.74,1.19,7.1
1994-02-01,16.76,1.19,7.1
1994-03-01,16.8,1.2,7.2
1994-04-01,16.82,1.21,7.2
1994-05-01,16.9,1.22,7.2
1994-06-01,16.97,1.23,7.3
1994-07-01,16.96,1.24,7.3
1994-08-01,17.04,1.25,7.3
1994-09-01,17.06,1.26,7.4
1994-10-01,17.1,1.27,7.4
1994-11-01,17.07,1.27,7.5
1994-12-01,17.09,1.28,7.5
1995-01-01,17.16,1.29,7.5
1995-02-01,17.23,1.3,7.5
1995-03-01,17.18,1.3,7.5
1995-04-01,17.46,1.32,7.6
1995-05-01,17.5,1.33,7.6
1995-06-01,17.55,1.34,7.6
1995-07-01,17.58,1.34,7.6
1995-08-01,17.49,1.34,7.7
1995-09-01,17.52,1.35,7.7
