date,value,rgdp,pop
1989-01-01,53.05,13.1,246.5
1989-04-01,53.34,13.2,247.0
1989-07-01,53.58,13.3,247.7
1989-10-01,53.54,13.3,248.4
1990-01-01,54.0,13.4,248.9
1990-04-01,54.03,13.5,249.7
1990-07-01,53.88,13.5,250.6
1990-10-01,53.2,13.4,251.5
1991-01-01,52.79,13.3,252.3
1991-04-01,53.03,13.4,253.1
1991-07-01,53.11,13.5,254.0
1991-10-01,53.11,13.5,254.8
1992-01-01,53.59,13.7,255.6
1992-04-01,53.99,13.8,256.4
1992-07-01,54.32,14.0,257.4
1992-10-01,54.7,14.1,258.3
1993-01-01,54.63,14.2,259.0
1993-04-01,54.78,14.2,259.8
1993-07-01,54.86,14.3,260.7
1993-10-01,55.43,14.5,261.5
1994-01-01,55.81,14.6,262.2
1994-04-01,56.4,14.8,263.0
1994-07-01,56.55,14.9,263.9
1994-10-01,57.02,15.1,264.7
1995-01-01,57.07,15.1,265.4
1995-04-01,57.08,15.2,266.1
1995-07-01,57.38,15.3,267.0
1995-10-01,57.59,15.4,267.8
1996-01-01,57.88,15.5,268.5
1996-04-01,58.68,15.8,269.3
1996-07-01,59.01,15.9,270.1
1996-10-01,59.44,16.1,271.0
1997-01-01,59.66,16.2,271.7
1997-04-01,60.48,16.5,272.5
1997-07-01,61.04,16.7,273.4
1997-10-01,61.37,16.8,274.2
1998-01-01,61.82,17.0,275.0
1998-04-01,62.22,17.2,275.7
1998-07-01,62.81,17.4,276.6
1998-10-01,63.63,17.7,277.4
1999-01-01,64.07,17.8,278.1
1999-04-01,64.42,18.0,278.9
1999-07-01,65.07,18.2,279.8
1999-10-01,65.94,18.5,280.6
2000-01-01,66.01,18.6,281.3
2000-04-01,67.05,18.9,282.0
2000-07-01,66.93,18.9,282.8
2000-10-01,67.16,19.0,283.5
2001-01-01,66.78,19.0,284.2
2001-04-01,67.04,19.1,284.8
2001-07-01,66.6,19.0,285.6
2001-10-01,66.61,19.1,286.3
2002-01-01,67.02,19.2,286.9
2002-04-01,67.28,19.3,287.6
2002-07-01,67.39,19.4,288.3
2002-10-01,67.31,19.5,289.0
2003-01-01,67.52,19.6,289.6
2003-04-01,67.97,19.7,290.3
2003-07-01,68.92,20.1,291.0
2003-10-01,69.56,20.3,291.7
2004-01-01,69.82,20.4,292.2
2004-04-01,70.21,20.6,292.9
2004-07-01,70.7,20.8,293.6
2004-10-01,71.24,21.0,294.3
2005-01-01,71.88,21.2,295.0
2005-04-01,72.08,21.3,295.6
2005-07-01,72.46,21.5,296.3
2005-10-01,72.68,21.6,297.1
2006-01-01,73.49,21.9,297.7
2006-04-01,73.52,21.9,298.4
2006-07-01,73.44,22.0,299.2
2006-10-01,73.88,22.2,299.9
2007-01-01,73.94,22.2,300.6
2007-04-01,74.23,22.4,301.3
2007-07-01,74.46,22.5,302.1
2007-10-01,74.74,22.6,302.8
2008-01-01,74.26,22.5,303.5
2008-04-01,74.54,22.7,304.2
2008-07-01,73.96,22.6,304.9
2008-10-01,72.17,22.1,305.6
2009-01-01,71.21,21.8,306.2
2009-04-01,70.94,21.8,306.9
2009-07-01,71.02,21.8,307.6
2009-10-01,71.63,22.1,308.3
2010-01-01,71.83,22.2,308.9
2010-04-01,72.39,22.4,309.5
2010-07-01,72.79,22.6,310.1
2010-10-01,73.02,22.7,310.8
2011-01-01,72.71,22.6,311.4
2011-04-01,73.07,22.8,311.9
2011-07-01,72.9,22.8,312.6
2011-10-01,73.56,23.0,313.3
2012-01-01,74.05,23.2,313.8
2012-04-01,74.25,23.3,314.4
2012-07-01,74.2,23.4,315.0
